aleman,espanol
Der mann,El hombre
Die danke,El gracias
Die zeit,El tiempo
Die frau,La mujer
Das leid,Lo lamento
Der gott,El dios
Der vater,El padre
Der tag,El dia
Die liebe,Amar
Das geld,El dinero
Die mutter,La madre
Der sir,El señor
Die nacht,La noche
Die ordnung,El orden
Das mädchen,La chica
Das hause,El hogar
Der freund,El amigo
Das haus,La casa
Der menschen,De personas
Die musik,La musica
Die angst,El miedo
Die welt,El mundo
Die scheiße,Esa mierda
Der herr,El caballero
Das kinder,Los niños
Der moment,El momento
Die arbeit,La obra
Das jahre,Esos años
Der sohn,El hijo
Die familie,La familia
Die sache,La cosa
Das problem,El problema
Der bruder,El hermano
Die hilfe,La ayuda
Das kind,El niño
Das jahren,Eso son años
Der fall,El caso
Die frage,La pregunta
Die stadt,La ciudad
Der kopf,La cabeza
Der männer,De los hombres
Der namen,El nombre
Die uhr,El reloj
Das ende,El fin
Das glück,La felicidad
Das dinge,Que cosas
Der freunde,De amigos
Die minuten,Los minutos
Das augen,Los ojos
Die polizei,La policia
Der eure,Tuyo
Die tür,La puerta
Die ahnung,La pista
Der teufel,El diablo
Der name,El nombre
Die tochter,La hija
Die frauen,Las mujeres
Die hand,La mano
Die schau,La mirada
Die mama,La mamá
Die art,El tipo
Die ruhe,La calma
Die idee,La idea
Der grund,La razón
Das jahr,El año
Das wasser,El agua
Die schwester,La hermana
Der tod,La muerte
Die geschichte,La historia
Das land,El pais
Die stunden,Las horas
Die wahrheit,La verdad
Der mom,La mamá
Der ort,El lugar
Die zimmer,Las habitaciones
Die seite,La pagina
Der krieg,La guerra
Das spiel,El juego
Die woche,La semana
Der schatz,El querido
Der spaß,La diversion
Der tage,De los dias
Die chance,La oportunidad
Die entschuldigung,La disculpa
Das bett,La cama
Das wort,La palabra
Das gesicht,La cara
Der typ,El chico
Der mensch,El ser humano
Die miss,La señorita
Das hättest,Tendrías
Der teil,La parte
Das herz,El corazon
Der papa,El papa
Das blut,La sangre
Die schule,La escuela
Der jack,El gato
Die waffe,El arma
Die sorge,La preocupacion
Der platz,El espacio
Die nummer,El numero
Der dollar,El dolar
Die menge,La cantidad
Die hölle,Infierno
Die rede,El discurso
Die hände,Las manos
Das telefon,El telefono
Der doktor,El doctor
Der fehler,El error
Die stunde,La hora
Der plan,El plan
Der hund,El perro
Der film,La película
Der ruf,La reputacion
Die wochen,Las semanas
Das feuer,El fuego
Das büro,La oficina
Der kumpel,El amigo
Der könig,El rey
Der hol,Las vacaciones
Die luft,El aire
Die stelle,El lugar
Das probleme,Los problemas
Der könntest,El podria
Der kaffee,El cafe
Die straße,La calle
Die suche,La busqueda
Das buch,Biblia
Das stück,La pieza
Der lch,El yo
Der arzt,El doctor
Die typen,Los chicos
Der himmel,El cielo
Die nachricht,El mensaje
Der onkel,El tio
Die waffen,Las armas
Das licht,La luz
Der körper,El cuerpo
Die wahl,La eleccion
Der rest,El resto
Der schätze,La suposición
Das gefühl,El sentimiento
Die schlüssel,La clave
Die millionen,Los millones
Die zukunft,El futuro
Das opfer,La victima
Der versuch,El intento
Das gefängnis,La prision
Der sinn,El significado
Die wohnung,El apartamento
Die person,La persona
Der mund,La boca
Der boden,El piso
Die klasse,La clase
Das setz,Ese conjunto
Die sicherheit,La seguridad
Das zeug,Esas cosas
Der mr,El señor
Der hasse,El odia
Der zeig,El espectáculo
Der mörder,El asesino
Die stimme,La voz
Der wärst,Ese serias tu
Die meinung,La opinion
Der monate,De meses
Die verzeihung,El indulto
Das lebens,La vida
Der kampf,La pelea
Die nähe,La cercanía
Das team,El equipo
Das bild,La imagen
Der mord,El asesinato
Der rufe,El grita
Der zieh,El tira
Die antwort,La respuesta
Der traum,El sueño
Das auge,El ojo
Der general,El general
Das hotel,El hotel
Das ziel,El objetivo
Der ärger,El problema
Das fenster,La ventana
Das handy,El telefono
Die bewegung,El movimiento
Der monaten,De los meses
Die hilf,La ayuda
Der gedanken,El pensamiento
Das rum,Eso es todo
Der augenblick,El momento
Das hole,Entiende eso
Die gefahr,El peligro
Die entscheidung,La decision
Der meister,El maestro
Der zug,El tren
Der chef,El jefe
Die klappe,La solapa
Die minute,El minuto
Der anfang,El comienzo
Der arme,Los pobres
Der monsieur,El señor
Der partner,El socio
Die reise,El viaje
Die dame,La dama
Der bescheid,La decision
Der raum,El espacio
Die rolle,El papel
Die informationen,La informacion
Die lage,La ubicación
Die hochzeit,La boda
Die weise,El sabio
Die richtung,La direccion
Der anwalt,El abogado
Das agent,El agente
Das beispiel,El ejemplo
Die vorsicht,La precaución
Die seele,El alma
Das boot,El barco
Die kontrolle,El control
Der befehl,El comando
Der brief,La carta
Die schreit,Ella grita
Die tasche,La bolsa
Der unfall,El accidente
Die verbindung,La conexión
Der beweise,La evidencia
Der punkt,El punto
Der geist,El espíritu
Der professor,El profesor
Das gold,El oro
Der computer,La computadora
Die sonne,El sol
Der hunger,El hambre
Die lady,La dama
Der preis,El precio
Die firma,La empresa
Das wunder,El milagro
Der frieden,La paz
Der herrn,El caballero
Die liste,La lista
Die sekunde,El segundo
Der anruf,La llamada
Die beziehung,La relación
Die nachrichten,La noticia
Die zeiten,Los tiempos
Der präsident,El presidente
Der witz,El chiste
Der geburtstag,El cumpleaños
Die möglichkeit,La posibilidad
Der wein,El vino
Der bord,El tablero
Die fahre,Ella conduce
Die nase,La nariz
Das kindern,Los niños
Die bank,El banco
Der blick,La vista
Die hau,El hau
Das geheimnis,El secreto
Das flugzeug,El avion
Der fuß,El pie
Die tante,La tia
Die regierung,El gobierno
Die armee,El ejercito
Die majestät,La majestuosidad
Die kirche,La iglesia
Der kontakt,El contacto
Die hoffnung,La esperanza
Das schicksal,Destino
Die lust,La lujuria
Das gericht,La corte
Das gefühle,Los sentimientos
Die gesellschaft,La sociedad
Das zeichen,El signo
Das volk,Pueblo
Die antworten,Las respuestas
Die überraschung,La sorpresa
Das tee,El te
Der vaters,Del padre
Die schlampe,La perra
Die achtung,El respeto
Der soldaten,De los soldados
Das weihnachten,Esa navidad
Das heim,El hogar
Der sheriff,El sheriff
Die vergangenheit,El pasado
Das fotos,Las fotos
Das haare,El pelo
Die situation,La situacion
Der kriege,Las guerras
Der frag,El pregunta
Der besuch,La visita
Der schritt,El paso
Das gebäude,El edificio
Der guck,La mirada
Der hals,El cuello
Der ehemann,El marido
Der brauch,El cumquibus
Die insel,La isla
Das glas,El vaso
Die königin,La reina
Die kamera,La camara
Die prinzessin,La princesa
Das gesetz,La ley
Die freude,La alegria
Das messer,El cuchillo
Der glückwunsch,Las felicitaciones
Die aufgabe,La tarea
Die mission,La mision
Die küche,La cocina
Der ball,La pelota
Der unsinn,Las tonterias
Das lied,La cancion
Die spur,La pista
Die adresse,La dirección
Die hälfte,La mitad
Die position,La posición
Die gruppe,El grupo
Der monster,El monstruo
Das beine,Las piernas
Die mark,La marca
Die freiheit,La libertad
Der drink,La bebida
Das meer,El mar
Das eier,Los huevos
Der eis,El helado
Das kleid,El vestido
Der schmerz,El dolor
Der witze,Los chistes
Der richter,El juez
Der wind,El viento
Der bericht,El informe
Der ring,El anillo
Das taxi,El taxi
Das fernsehen,La television
Der erfolg,El éxito
Das unternehmen,La empresa
Der träume,Los sueños
Die maschine,La maquina
Die helfe,La ayuda
Die energie,La energia
Der männern,De hombres
Der angriff,El ataque
Der beeil,La prisa
Das wochenende,El fin de semana
Die freue,El feliz
Der unterschied,La diferencia
Das angebot,La oferta
Das bilder,Las fotos
Der bein,La pierna
Der freunden,Los amigos
Der polizist,El policia
Der patienten,Del paciente
Der brüder,Los hermanos
Die nee,El no
Der meter,El metro
Der park,El parque
Die operation,La operacion
Das tiere,Los animales
Die zeitung,El periódico
Das gehirn,El cerebro
Die wand,La pared
Die gelegenheit,La oportunidad
Das ohren,Las orejas
Die bombe,La bomba
Der mut,El coraje
Der bus,El autobus
Der steig,La subida
Die lüge,La mentira
Die ecke,La esquina
Die flasche,La botella
Der zeitpunkt,El momento
Der lord,El señor
Das haar,El pelo
Der engel,El angel
Das gespräch,La conversacion
Der lehrer,El maestro
Der blöd,Ese estúpido
Das interesse,El interes
Die verantwortung,La responsabilidad
Die folge,El episodio
Das tor,La puerta
Der schmerzen,El dolor
Das system,El sistema
Der sommer,El verano
Die red,El rojo
Der club,El club
Das frühstück,El desayuno
Der druck,La presion
Der wahnsinn,La locura
Der baum,El arbol
Der verdammter,El maldito
Der auftrag,El orden
Das held,El héroe
Die gewalt,La violencia
Der kurs,El curso
Die lösung,La solución
Der flug,El vuelo
Der beweis,La prueba
Der stein,La piedra
Der knast,El esta en la carcel
Die katze,El gato
Der urlaub,Las vacaciones
Der hunde,Los perros
Die pause,El descanso
Das tier,El animal
Der prinz,El principe
Die übersetzung,La traducción
Der koffer,La maleta
Der irgendjemand,El cualquiera
Der kunden,Del cliente
Die natur,La naturaleza
Das risiko,El riesgo
Das mädels,Las chicas
Die erfahrung,La experiencia
Der idioten,Los idiotas
Der polizisten,El policia
Die runde,La ronda
Der gibts,Hay
Das thema,El tema
Das isst,Eso es comer
Die reihe,La serie
Die ryan,El ryan
Der pläne,Los planes
Der dienst,El servicio
Der zufall,La coincidencia
Die zustand,La condición
Der amerikaner,El americano
Die szene,La escena
Der beruhige,El tranquilo
Das farbe,El color
Das geschäfte,El negocio
Der strand,La playa
Der mond,La luna
Der soldat,El soldado
Der gäste,De invitados
Das pferde,Los caballos
Der füße,Los pies
Das rechte,El correcto
Das radio,La radio
Das autos,Los autos
Die erinnerung,La memoria
Der direktor,El director
Der gang,El pasillo
Der streit,La disputa
Der netter,El mas lindo
Der nerven,Los nervios
Die sprache,El idioma
Der scherz,El chiste
Das arbeitest,Eso funciona
Der vertrag,El contrato
Die grenze,La frontera
Der such,El esta mirando
Der bürgermeister,El alcalde
Die milch,La leche
Die wache,El guardia
Der zweifel,La duda
Das knie,La rodilla
Die nette,El bueno
Der fragst,El pregunta
Die pflicht,El deber
Der anzug,El traje
Die tatsache,El hecho
Der sieg,La victoria
Der schutz,La proteccion
Die leichen,Los cadáveres
Das programm,El programa
Der mister,El señor
Der schatten,La sombra
Der stock,El palo
Die form,La forma
Die erklärung,La explicacion
Der kollegen,Los colegas
Der akte,El archivo
Der blödsinn,Las tonterias
Die krankheit,La enfermedad
Das hexe,La bruja
Die aufmerksamkeit,La atencion
Der großmutter,De la abuela
Das pfund,La libra
Die kunst,Arte
Die million,El millon
Der trottel,El idiota
Der termin,La cita
Die seiten,Las paginas
Der feinde,El enemigo
Das geheimnisse,Los secretos
Das theater,El teatro
Die joey,El joey
Das grab,La tumba
Die spuren,Las pistas
Der griff,El mango
Das sterbe,Que muere
Die schnappen,Se rompen
Der präsidenten,El presidente
Das video,El vídeo
Der alkohol,El alcohol
Der selbstmord,El suicidio
Die marie,María
Die hank,La madeja
Der passierte,Eso paso
Die kräfte,Los poderes
