aleman,espanol,nivel
Die ausrüstung,El equipo,B1
Das zack,Ese auge,B1
Die prüfung,El examen,B1
Die lieferung,La entrega,B1
Der begriff,El concepto,B1
Die sekretärin,El secretario,B1
Das modell,El modelo,B1
Der esel,El burro,B1
Das protokoll,El protocolo,B1
Der handel,El comercio,B1
Der friedhof,El cementerio,B1
Der irrtum,El error,B1
Der sender,El remitente,B1
Die krone,La corona,B1
Der blitz,El relámpago,B1
Die steuer,El impuesto,B1
Die wirkung,El efecto,B1
Der fleck,La mancha,B1
Die lerne,El aprender,B1
Das tal,El valle,B1
Das gelächter,La risa,B1
Die aussicht,La vista,B1
Das personal,El personal,B1
Die ebene,El nivel,B1
Das tv,La televisión,B1
Die ausbildung,El entrenamiento,B1
Der ausweg,La salida,B1
Die mannschaft,El equipo,B1
Das interview,La entrevista,B1
Der probier,El intento,B1
Die mason,El albañil,B1
Die ladung,El cargo,B1
Die gegenwart,El presente,B1
Das bedenken,Considere que,B1
Die segne,La bendición,B1
Die katie,La katie,B1
Das tagebuch,El diario,B1
Der abschied,La despedida,B1
Das anblick,La vista,B1
Die hauptsache,Lo principal,B1
Der ruhm,La gloria,B1
Das kapitel,El capitulo,B1
Der abstand,La distancia,B1
Der trainer,El entrenador,B1
Der gewinn,La victoria,B1
Das missverständnis,El malentendido,B1
Die phase,La fase,B1
Die furcht,El miedo,B1
Das lautes,El ruidoso,B1
Der laster,El vicio,B1
Der jennifer,La jennifer,B1
Das paket,El paquete,B1
Der september,Septiembre,B1
Der gewinner,El ganador,B1
Die schaust,Ellos miran,B1
Der whisky,El whisky,B1
Die carrie,El transportista,B1
Die rasse,La raza,B1
Der schlief,El estaba durmiendo,B1
Die kultur,La cultura,B1
Der zorn,La ira,B1
Die religion,La religión,B1
Der kirk,La iglesia,B1
Die ausnahme,La excepción,B1
Der verkehr,El trafico,B1
Der knall,La explosión,B1
Das tempo,El ritmo,B1
Die sitzung,La sesión,B1
Der normaler,El normal,B1
Die therapie,La terapia,B1
Die version,La versión,B1
Die entfernung,La distancia,B1
Die schauspielerin,La actriz,B1
Die rettung,El rescate,B1
Der parkplatz,El estacionamiento,B1
Der beginn,El comienzo,B1
Die tradition,La tradicion,B1
Der papst,El papa,B1
Der juni,Junio,B1
Der kofferraum,El baúl,B1
Der eingang,La entrada,B1
Die zirkus,El circo,B1
Der schuh,El zapato,B1
Die existenz,La existencia,B1
Das verfahren,El procedimiento,B1
Der mittwoch,Miércoles,B1
Die marke,La marca,B1
Das drama,El drama,B1
Der charakter,El personaje,B1
Das salz,La sal,B1
Die trauer,La tristeza,B1
Die krankenstation,La enfermería,B1
Der block,El bloque,B1
Die anwesenheit,La presencia,B1
Der schnaps,El licor,B1
Das verständnis,El entendimiento,B1
Der sarg,El ataúd,B1
Der panzer,El tanque,B1
Die herausforderung,El desafío,B1
Die episode,El episodio,B1
Das penis,El pene,B1
Das geständnis,La confesion,B1
Der mylord,El mi señor,B1
Die witwe,La viuda,B1
Das freddy,El freddy,B1
Die werbung,La publicidad,B1
Die nahrung,La comida,B1
Die louise,La luisa,B1
Die aufregung,La emoción,B1
Das erkennst,Reconoce que,B1
Die michelle,La michelle,B1
Die aktion,La acción,B1
Das küss,Ese beso,B1
Die serie,La serie,B1
Die partei,La fiesta,B1
Das symbol,El símbolo,B1
Das maus,El raton,B1
Die marine,La marina,B1
Die kanone,El cañón,B1
Der thron,El trono,B1
Der aufzug,El ascensor,B1
Die ärztin,El doctor,B1
Der sherlock,El sherlock,B1
Das fahrzeug,El vehiculo,B1
Die dennis,El dennis,B1
Die abby,La abby,B1
Das amt,La oficina,B1
Das zentrum,El centro,B1
Das motel,El motel,B1
Der finn,El finlandés,B2
Der voyager,El viajero,B2
Der walt,El walt,B2
Der verarscht,El esta bromeando,B2
Die gerede,La charla,B2
Die stufe,El escenario,B2
Die kummer,El dolor,B2
Der regisseur,El director,B2
Der psychiater,El psiquiatra,B2
Die fängst,Tu los atrapas,B2
Der apparat,El aparato,B2
Der einbruch,El robo,B2
Der brand,El fuego,B2
Der fußball,El futbol,B2
Das kompliment,El cumplido,B2
Die generation,La generacion,B2
Die babe,El bebe,B2
Die vision,La vision,B2
Die zwischenzeit,Mientras tanto,B2
Die vergebung,El perdon,B2
Der einspruch,La objeción,B2
Die villa,La villa,B2
Die entführung,El secuestro,B2
Die ekelhaft,El repugnante,B2
Die zoe,La zoé,B2
Der vorfall,El incidente,B2
Die krise,La crisis,B2
Der zuschauer,El espectador,B2
Die methode,El metodo,B2
Die bevölkerung,La poblacion,B2
Die loyalität,La lealtad,B2
Die kleinigkeit,La cosita,B2
Die ellie,Ellie,B2
Der toby,El toby,B2
Das time,El tiempo,B2
Die atmosphäre,La atmósfera,B2
Die kreatur,La criatura,B2
Das koma,El coma,B2
Der zugriff,El acceso,B2
Die lade,El cajón,B2
Das lydia,La lidia,B2
Das worf,Eso arrojó,B2
Der profi,El profesional,B2
Der gangster,El gangster,B2
Die sternenflotte,Flota estelar,B2
Der dschungel,La jungla,B2
Die bahn,El tren,B2
Das volkes,Pueblo,B2
Der akzent,El acento,B2
Der turm,La torre,B2
Die faust,El puño,B2
Die zerstörung,La destruccion,B2
Die front,El frente,B2
Die veränderung,Cambio,B2
Die zone,La zona,B2
Der sieger,El ganador,B2
Die summe,La suma,B2
Die verfassung,La constitucion,B2
Der kümmer,El cariñoso,B2
Das kostüm,El disfraz,B2
Die verhandlung,La negociacion,B2
Die erik,El erik,B2
Die bestie,La bestia,B2
Das rezept,La receta,B2
Das ausland,El pais extranjero,B2
Das geradeaus,Que de frente,B2
Die herrin,La amante,B2
Die vernunft,La razón,B2
Die reese,El reese,B2
Der service,El servicio,B2
Die zahn,El diente,B2
Das erbe,El legado,B2
Der fürst,El principe,B2
Die tragödie,La tragedia,B2
Der oktober,Octubre,B2
Der spaziergang,El paseo,B2
Die moral,La moraleja,B2
Die leine,La correa,B2
Der versager,El fracaso,B2
Die etage,El piso,B2
Die ronnie,El ronnie,B2
Die sprung,El salto,B2
Das bargeld,El efectivo,B2
Der autor,El autor,B2
Der trost,El consuelo,B2
Der liebster,El mas querido,B2
Die unschuld,La inocencia,B2
Die sauerstoff,El oxigeno,B2
Die forschung,La investigacion,B2
Die shane,El shane,B2
Die liz,La liz,B2
Das frisst,Que come,B2
Das verhältnis,La relación,B2
Das ticket,El billete,B2
Die leistung,La actuación,B2
Der gürtel,El cinturón,B2
Das special,El especial,B2
Das eigentum,La propiedad,B2
Der teenager,El adolescente,B2
Der trank,El bebió,B2
Die schießerei,El tiroteo,B2
Die natalie,La natalia,B2
Der sektor,El sector,B2
Die verspätung,El retraso,B2
Die diebstahl,El robo,B2
Die action,La acción,B2
Die kasse,La caja registradora,B2
Die föderation,La federación,B2
Die fabelhaft,El fabuloso,B2
Der gegensatz,Lo contrario,B2
Das kissen,La almohada,B2
Der philip,El felipe,B2
Die diskussion,La discusión,B2
Das blatt,La hoja,B2
Der wettbewerb,La competencia,B2
Die bewährung,La libertad condicional,B2
Der lex,El lex,B2
Der spruch,El dicho,B2
Das testament,La voluntad,B2
Die beschreibung,La descripción,B2
Der gehalt,El salario,B2
Die tarnung,El camuflaje,B2
Die entwicklung,El desarrollo,B2
Das gemüse,La verdura,B2
Der schriftsteller,El escritor,B2
Der rückzug,El retiro,B2
Die persönlichkeit,La personalidad,B2
Das bruno,Ese es bruno,B2
Der schläger,El matón,B2
Der zwang,El obligó,B2
Die kaution,El deposito,B2
Das schachtel,La caja,B2
Das telegramm,El telegrama,B2
Die zivilisation,Civilización,B2
Der nadel,De la aguja,B2
Die festung,La fortaleza,B2
Die assistentin,El asistente,B2
Die gitarre,La guitarra,B2
Die saft,El jugo,B2
Die platte,El plato,B2
Die diane,La diane,B2
Der neil,El neil,B2
Die kommunikation,La comunicacion,B2
Der zusammenhang,La conexión,B2
Der dezember,Diciembre,B2
Die oper,La opera,B2
Das kokain,La cocaina,B2
Das mauern,Bloquear eso,B2
Der wahrer,El mas verdadero,B2
Die tschuldigung,Lo siento,B2
Die analyse,El análisis,B2
Die are,Ellos son,B2
Die vereinbarung,El acuerdo,B2
Die ferne,El lejano,B2
Die tüte,La bolsa,B2
Die meldung,El mensaje,B2
Das anfing,Eso empezó,B2
Das anlass,La ocasión,B2
Der reis,El arroz,B2
Der lester,El lester,B2
Das sofa,El sofá,B2
Der dylan,El dylan,B2
Der pfeil,La flecha,B2
Der anschlag,El ataque,B2
Der autounfall,El accidente automovilistico,B2
Der flieger,El avion,B2
Das detail,El detalle,B2
Der golf,El golf,B2
Die behalt,Guárdalo,B2
Die einrichtung,La instalación,B2
Die wade,El ternero,B2
Die praxis,La practica,B2
Die intelligenz,La inteligencia,B2
Die apfel,La manzana,B2
Die werft,El tiro,B2
Die trennung,La separacion,B2
Das datum,La fecha,B2
Die bedingung,La condición,B2
Der hahn,El gallo,B2
Die alternative,La alternativa,B2
Der kater,El gato,B2
Die klage,La demanda,B2
Das grundstück,La propiedad,B2
Die strategie,La estrategia,B2
Der november,Noviembre,B2
Der transport,El transporte,B2
Die vergewaltigung,La violacion,B2
Das krach,Eso fue ruidoso,B2
Der psst,El shhh,B2
Das gabriel,Ese gabriel,B2
Der zentimeter,El centimetro,B2
Das werkzeug,La herramienta,B2
Der anspruch,El reclamo,B2
Das prinzip,El principio,B2
Das metall,El metal,B2
Das trinkgeld,La propina,B2
Der frost,La helada,B2
Das allah,Que alá,B2
Die laptop,El portatil,B2
Der märz,Marzo,B2
Der räuber,El ladrón,B2
Die ermittlung,La investigacion,B2
Die glocke,La campana,B2
Der schirm,El paraguas,B2
Die zeremonie,La ceremonia,B2
Die ansicht,La vista,B2
Der gauner,El ladrón,B2
Die zeugin,El testigo,B2
Die gemeinschaft,La comunidad,B2
Das ereignis,El evento,B2
Das mitgefühl,La compasion,B2
Die anzahl,El numero,B2
Die frisur,El peinado,B2
Die temperatur,La temperatura,B2
Die verschwörung,La conspiracion,B2
Die kabine,La cabaña,B2
Die mafia,La mafia,B2
Das mikey,Ese mikey,B2
Der pfad,El camino,B2
Der musiker,El musico,B2
Der lkw,El camion,B2
Die rente,La pension,B2
Der umschlag,El sobre,B2
Der kern,El núcleo,B2
Das silber,La plata,B2
Der geliebter,El amado,B2
Das sue,Esa demanda,B2
Der geheimdienst,El servicio secreto,B2
Die borg,El borgo,B2
Die weinst,Ella esta llorando,B2
Die verhaftung,El arresto,B2
Der schlauer,El inteligente,B2
Der ersatz,El reemplazo,B2
Die zweit,El segundo,B2
Der skandal,El escándalo,B2
Die sloan,El sloan,B2
Die anwältin,El abogado,B2
Die verletzung,La herida,B2
Die einsamkeit,La soledad,B2
Die erfindung,La invencion,B2
Der tötest,El te mata,B2
Die republik,La república,B2
Die weibliche,El femenino,B2
Die komplette,El completo,B2
Die pille,La pastilla,B2
Der bezug,La referencia,B2
Das produkt,El producto,B2
Die zombie,El zombi,B2
Die konkurrenz,La competencia,B2
Der kredit,El credito,B2
Die route,La ruta,B2
Die kombination,La combinación,B2
Die anlage,El apego,B2
Die narbe,La cicatriz,B2
Der geschäftsmann,El empresario,B2
Die lake,El lago,B2
Der kommentar,El comentario,B2
Der stall,El establo,B2
Der korb,La canasta,B2
Das studium,El estudio,B2
Der januar,Enero,B2
Der quitt,La renuncia,B2
Das echo,El eco,B2
Der ruhestand,La jubilación,B2
Der kitty,El gatito,B2
Die kuppel,La cúpula,B2
Die agentur,La agencia,B2
Der alptraum,La pesadilla,B2
Die wirtschaft,La economia,B2
Die welle,La ola,B2
Der transporter,El transportador,B2
Die autorität,La autoridad,B2
Der zutritt,El acceso,B2
Der helikopter,El helicóptero,B2
Die serena,La serena,B2
Der hector,Héctor,B2
Das verhör,El interrogatorio,B2
Die mode,La moda,B2
Die ziege,La cabra,B2
Die besprechung,La reunion,B2
Die konferenz,La conferencia,B2
Der tumor,El tumor,B2
Die kacke,La caca,B2
Der abzug,La deducción,B2
Der rucksack,La mochila,B2
Die flagge,La bandera,C1
Die haltung,La actitud,C1
Der winkel,El angulo,C1
Die sammlung,La coleccion,C1
Der inspector,El inspector,C1
Die auswahl,La seleccion,C1
Das geldes,El dinero,C1
Die infektion,La infeccion,C1
Die simone,La simon,C1
Die produktion,La produccion,C1
Die mahlzeit,La comida,C1
Die kürze,La brevedad,C1
Die landung,El aterrizaje,C1
Der passwort,La contraseña,C1
Der honig,La miel,C1
Die karre,El carro,C1
Die tanze,Ellos bailan,C1
Die qualität,La nobleza,C1
Die kammer,La cámara,C1
Das disziplin,La disciplina,C1
Der sanitäter,El paramédico,C1
Der irrer,El loco,C1
Die genehmigung,La aprobación,C1
Die priorität,La prioridad,C1
Die security,La seguridad,C1
Der standort,La ubicación,C1
Die besatzung,La tripulación,C1
Die division,La division,C1
Die folter,La tortura,C1
Die option,La opción,C1
Der schieb,El empujón,C1
Der revolver,El revólver,C1
Der freust,El esta feliz,C1
Der fahrstuhl,El ascensor,C1
Die anweisung,La instrucción,C1
Die illusion,La ilusion,C1
Das adieu,El adios,C1
Der schalter,El escritorio,C1
Die artie,El artie,C1
Der sprengstoff,El explosivo,C1
Die münze,La moneda,C1
Der traust,El confía,C1
Der klopf,El golpe,C1
Der februar,Febrero,C1
Die scotty,El escocés,C1
Die lehre,La enseñanza,C1
Der besonderer,El especial,C1
Die gestalt,La forma,C1
Der saal,El pasillo,C1
Die meile,La milla,C1
Der starbuck,El starbucks,C1
Der schein,La apariencia,C1
Der viktor,El vencedor,C1
Der kongress,El congreso,C1
Die hinrichtung,La ejecución,C1
Die melanie,Melanie,C1
Das gleichgewicht,El equilibrio,C1
Die wärme,La calidez,C1
Die bestimmung,La determinación,C1
Die überwachung,La vigilancia,C1
Der greif,El grifo,C1
Die vermutung,La suposición,C1
Der porter,El portero,C1
Die statue,La estatua,C1
Das reichtum,La riqueza,C1
Der verfluchter,El maldito,C1
Die bezahlung,El pago,C1
Der pastor,El pastor,C1
Die kellnerin,La camarera,C1
Die versammlung,La reunion,C1
Die begleitung,El acompañamiento,C1
Die have,Ellos tienen,C1
Die göttin,La diosa,C1
Die ablenkung,La distraccion,C1
Die erpressung,El chantaje,C1
Der bezirk,El distrito,C1
Die charme,El encanto,C1
Der ingenieur,El ingeniero,C1
Der lenny,El lenny,C1
Die anerkennung,El reconocimiento,C1
Der chor,El coro,C1
Die jeanne,Juana,C1
Die zusammenarbeit,La colaboracion,C1
Die spannung,La tension,C1
Die beförderung,El transporte,C1
Der schrott,La basura,C1
Die begegnung,El encuentro,C1
Das merk,Note que,C1
Die ausschau,La mirada,C1
Die demokratie,La democracia,C1
Der helena,La helena,C1
Die entdeckung,El descubrimiento,C1
Die hauptstadt,La capital,C1
Die niederlage,La derrota,C1
Die zuneigung,El cariño,C1
Die anhörung,La audiencia,C1
Die messe,La feria,C1
Der sonnenschein,El sol,C1
Die kaugummi,El chicle,C1
Der nagel,El clavo,C1
Der maler,El pintor,C1
Die bestätigung,La confirmacion,C1
Die studie,El estudio,C1
Die prügel,La paliza,C1
Der trag,Lo trágico,C1
Der aufenthalt,La estancia,C1
Das finsternis,La oscuridad,C1
Der tucker,El trago,C1
Die schalt,El cambio,C1
Der liter,El litro,C1
Die godzilla,El godzilla,C1
Das gemma,La gema,C1
Die zustimmung,El consentimiento,C1
Der bischof,El obispo,C1
Die batterie,La bateria,C1
Das odo,Ese odo,C1
Die strahlung,La radiacion,C1
Der raub,El robo,C1
Die regie,La direccion,C1
Die kenntnis,El conocimiento,C1
Die richie,El rico,C1
Die chefin,El jefe,C1
Die anpassung,La adaptacion,C1
Der balkon,El balcon,C1
Der wurm,El gusano,C1
Die haft,La prision,C1
Die befragung,La encuesta,C1
Die reite,El paseo,C1
Die verzweiflung,La desesperación,C1
Die annahme,La aceptacion,C1
Die akademie,La academia,C1
Der commissioner,El comisionado,C1
Die blutung,El sangrado,C1
Der anfall,La incautación,C1
Der depp,El idiota,C1
Die leslie,La leslie,C1
Das maura,Esa es maura,C1
Der kamin,La chimenea,C1
Die wende,El turno,C1
Die fuer,El para,C1
Der premierminister,El primer ministro,C2
Die herrje,Oh querido,C2
Der rang,El rango,C2
Die formel,La formula,C2
Der schrecklicher,El mas terrible,C2
Die kampagne,La campaña,C2
Die staatsanwaltschaft,La fiscalía,C2
Das medikament,La medicación,C2
Der zeitplan,El horario,C2
Die versuchung,La tentación,C2
Das dokument,El documento,C2
Die invasion,La invasión,C2
Die neugier,La curiosidad,C2
Der profit,El beneficio,C2
Die schmerzhaft,El doloroso,C2
Die pest,La plaga,C2
Die merkwürdige,El extraño,C2
Der triff,El golpea,C2
Die philosophie,La filosofia,C2
Der zoey,La zoey,C2
Die mylady,La señora,C2
Die drohung,La amenaza,C2
Die isabelle,La isabel,C2
Die berufung,El llamado,C2
Der rhythmus,El ritmo,C2
Die frequenz,La frecuencia,C2
Der treibstoff,El combustible,C2
Das tuch,La tela,C2
Die angie,La angie,C2
Der durchbruch,El gran avance,C2
Der mexikaner,El mexicano,C2
Die ermordung,El asesinato,C2
Die schwule,El gay,C2
Das lebensmittel,La comida,C2
Die sisko,El sisco,C2
Die region,La región,C2
Der beitrag,La contribución,C2
Die herkunft,El origen,C2
Der verdächtiger,El sospechoso,C2
Die kung,El kung,C2
Die ausstellung,La exposición,C2
Die griffin,El grifo,C2
Die fahne,La bandera,C2
Der vorsitzender,El presidente,C2
Die übertragung,La transmision,C2
Die aspirin,La aspirina,C2
Die erlösung,La redención,C2
Der potter,El alfarero,C2
Die partnerin,El socio,C2
Das model,El modelo,C2
Das netzwerk,La red,C2
Der signora,La signora,C2
Die flamme,La llama,C2
Der vortrag,La conferencia,C2
Der geier,El buitre,C2
Das konzept,El concepto,C2
Die reue,El remordimiento,C2
Der monats,El mes,C2
Die eugene,El eugenio,C2
Der wärter,El guardia,C2
Die blase,La burbuja,C2
Die stur,El testarudo,C2
Das kleingeld,Cambio,C2
Das department,El departamento,C2
Die rühr,El revuelo,C2
Der untergang,La caída,C2
Die lizenz,La licencia,C2
Das lebewesen,La criatura viviente,C2
Der buddha,El buda,C2
Das juhu,Eso sí,C2
Der rahmen,El marco,C2
Die delta,El delta,C2
Die salon,El salon,C2
Der stab,El personal,C2
Der boxer,El boxeador,C2
Die ironie,La ironía,C2
Das argument,El argumento,C2
Die abwechslung,La variedad,C2
Die kompanie,La empresa,C2
Die zauberei,La magia,C2
Das scofield,El scofield,C2
Die ehrlichkeit,La honestidad,C2
Der gans,El ganso,C2
Der sumpf,El pantano,C2
Die literatur,La literatura,C2
Der hinterhalt,La emboscada,C2
Der they,Ellos,C2
Das bevorzuge,Prefiero eso,C2
Die kapelle,La capilla,C2
Das gramm,El gramo,C2
Die erziehung,La crianza,C2
Das erben,Heredar eso,C2
Der steif,El rígido,C2
Die ollie,El ollie,C2
Die heilung,La curación,C2
Der nachfolger,El sucesor,C2
Die kollegin,El colega,C2
Die beleidigung,El insulto,C2
Der jammer,La pena,C2
Der araber,El árabe,C2
Die pflanze,La planta,C2
Die konzentration,La concentracion,C2
Der student,El estudiante,C2
Die verlobung,El compromiso,C2
Die kurve,La curva,C2
Die handlung,La trama,C2
Der umgang,El manejo,C2
Der stadtrat,El ayuntamiento,C2
Der vorhang,La cortina,C2
Die bestellung,El orden,C2
Die schwangerschaft,El embarazo,C2
Der spuck,El escupitajo,C2
Die notiz,La nota,C2
Die masse,La masa,C2
Das autogramm,El autógrafo,C2
Der chester,El chester,C2
Die herrschaft,El reinado,C2
Die distanz,La distancia,C2
Der friseur,El peluquero,C2
Das lacey,Ese encaje,C2
Die norma,La norma,C2
Die auszeit,El tiempo muerto,C2
Der käfer,El escarabajo,C2
Der luxus,El lujo,C2
Die taube,La paloma,C2
Der umkreis,El perímetro,C2
Der krüppel,El lisiado,C2
Der gipfel,La cumbre,C2
Die mischung,La mezcla,C2
Der ausbruch,El brote,C2
Der altar,El altar,C2
Die apotheke,La farmacia,C2
Der konflikt,El conflicto,C2
Die robbie,El robbie,C2
Die pension,La pension,C2
Die datei,El archivo,C2
Die rückseite,La espalda,C2
Der goa,La goa,C2
Der schwindel,El mareo,C2
Das bedürfnis,El cumquibus,C2
Der tresor,La caja fuerte,C2
Der vorsprung,El líder,C2
